Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
1000,24,15,49.46817171062243,653.6038252533939,214.54612783075345,1.3360873253316163,0.30802971245290856,6999.9998784879435,0.010975841807495421,90
1000,24,16,51.84631407229089,645.3694888542316,223.79424516945213,1.3302773722772219,0.3352246223414374,6999.905656287724,3.4737169016734373,90
1000,24,17,56.5774353727428,638.7857464645411,231.94975358970393,1.322587064256283,0.36049820367673896,6999.883451923084,3.6082122992847867,90
1000,24,18,57.50360823050441,635.5920176415689,236.69614009073854,1.3130790915871977,0.3817238948475333,6999.889926816226,3.506653681882641,90
1000,24,2,6.640043573734135,930.9590552592913,50.14188025702685,1.3564295304197869,0.07870698652249485,7000.0,0.0,90
1000,24,3,9.968728065647701,898.8600403993421,67.37663357649326,1.356267860540957,0.0808490326026118,7000.0,0.0,90
1000,24,4,13.27474353645082,868.4271174252773,79.85163738446714,1.3561140493118862,0.0907031513529813,7000.0,0.0,90
1000,24,5,16.61113356446797,840.1267263134099,92.53490934217427,1.3559899844595158,0.09059217009422116,7000.0,0.0,90
1000,24,6,19.90286973813712,813.1115546929946,104.9634849049775,1.3558613562370128,0.09906969058415394,7000.0,0.0,90
1000,24,7,23.25166545774773,788.2158966890236,117.80335725350591,1.3554903155623181,0.10639713963727895,7000.0,0.0,90
1000,24,8,26.515431420497382,764.9962669784135,130.11487704150034,1.3553459647717414,0.11214114004341931,7000.0,0.0,90
1000,24,9,29.896522753687044,743.6756779104514,142.55730721264527,1.3549261299780215,0.12201179841797345,7000.0,0.0,90
250,24,1,8.944146605570655,226.32970125462222,24.041109556195575,0.9120827439646876,0.8842216002206618,6971.778293683771,210.41953645411974,90
250,24,10,56.82452726745459,125.69179103808258,59.28523744338443,0.5807929331517566,0.7540610449106357,6932.615940695287,333.1231922460433,90
250,24,11,60.512766063553116,120.98899334957851,61.80270799475321,0.5607339064205719,0.7431792014315067,6904.82315020046,365.80387746501333,90
250,24,12,63.49558413067928,117.07323000549029,64.05631983407895,0.541114737762874,0.7310022194355649,6885.212543783534,387.09096586088765,90
