Influent Substrate,HRT,Baffles Active,Substrate Removal,Mean Substrate,Standard Deviation Substrate,Mean Current Density,Total Current,Standard Deviation Current Density,Biomass,Standard Deviation Biomass,Length
750,2,7,2.569533065,725.5241928,43.35911303,1.533682183,0.137453688,1.368453489,7000,0,80
750,2,8,2.926236912,722.6761711,46.91903984,1.533618692,0.141670386,1.563882101,7000,0,80
750,2,9,3.311540303,720.2212058,49.72632447,1.533624687,0.14077724,1.759374241,7000,0,80
1000,6,1,0.828791303,989.0237507,27.00918435,1.534859333,0.030103227,0.195643403,7000,0,80
1000,6,10,8.190485999,902.8999011,113.0428127,1.532890392,0.184365855,1.953924286,7000,0,80
1000,6,11,9.354309534,896.7948881,118.5574251,1.532880954,0.18418664,2.149303481,7000,0,80
1000,6,12,9.744126559,893.4475807,122.9070425,1.532844115,0.186417155,2.344638358,7000,0,80
1000,6,2,1.648804257,976.7794745,42.7446249,1.533982085,0.131007636,0.391063166,7000,0,80
1000,6,3,2.480023714,965.3015976,57.49410144,1.533651016,0.148252573,0.586468149,7000,0,80
1000,6,4,3.29380288,954.4267756,68.34921191,1.533384271,0.16326898,0.781821527,7000,0,80
1000,6,5,4.130432489,895.2584032,166.9662493,1.712638353,0.592701373,0.954510442,6934.986595,313.0977501,80
1000,6,6,4.897896617,880.1943322,179.2655653,1.711320372,0.606471283,1.144531065,6928.828592,330.272132,80
1000,6,7,5.795732729,925.7937157,93.00884192,1.533113608,0.174635471,1.367946168,7000,0,80
1000,6,8,6.564725953,917.3462096,100.3801201,1.532996336,0.180238182,1.563247463,7000,0,80
1000,6,9,7.482482078,909.9203772,106.3633541,1.532982438,0.180168069,1.758637452,7000,0,80
250,6,1,2.937866571,240.6128116,18.09926469,1.360658678,0.792639823,0.173438626,7000,0,80
250,6,10,28.63094097,179.7561366,53.02173686,1.339047232,0.858258851,1.706838872,6956.83615,268.6422602,80
250,6,11,32.47980222,176.2464164,55.62742853,1.331939625,0.861827848,1.867556947,6955.420549,273.8891336,80
250,6,12,33.6287431,174.69274,57.3516223,1.320060966,0.873180473,2.019165254,6952.48587,286.1243154,80
250,6,2,6.004036762,230.7275171,24.14325889,1.396878451,0.780584751,0.35611088,6986.619659,130.6003092,80
250,6,3,8.985570083,222.0872584,29.94342263,1.389427557,0.802011151,0.531317098,6979.157543,168.6081307,80
250,6,4,11.88605581,214.0508453,34.09787514,1.383513105,0.815163538,0.705407215,6973.244684,198.91838,80
250,6,5,13.99318718,198.0799831,46.59260292,1.479771342,1.062916245,0.824725895,6732.585627,764.4998886,80
250,6,6,16.5740885,190.283826,49.92201898,1.469731423,1.071361175,0.982956376,6716.118968,788.6711014,80
250,6,7,20.58091478,194.0454147,44.26179556,1.361206341,0.840212231,1.214559044,6964.865832,234.2838355,80
250,6,8,23.19437397,188.5880228,47.36628485,1.353969618,0.847335893,1.380687952,6961.389272,250.1047242,80
250,6,9,26.29672921,183.8621302,50.10018154,1.347149721,0.851731896,1.54545016,6959.991226,255.1950024,80
500,6,1,1.652622141,489.2538206,23.68688425,1.530698,0.126228245,0.195112972,7000,0,80
500,6,10,16.27957248,413.1066998,80.88630869,1.523363698,0.354290801,1.941780927,6996.741474,40.72832526,80
500,6,11,18.58075786,408.0724045,85.04029663,1.522992202,0.35744089,2.135438132,6996.777576,39.67433777,80
500,6,12,19.35115123,405.7036111,87.70588403,1.52290453,0.358425018,2.329434769,6996.045797,47.08737335,80
500,6,2,3.286113564,477.9093334,33.55607772,1.528831914,0.233444662,0.389750216,6999.616651,6.056180121,80
500,6,3,4.939054132,467.5035877,43.28220176,1.527286501,0.276767404,0.584034358,6999.696562,5.042635457,80
500,6,4,6.5569722,457.712809,50.33560446,1.526334381,0.301231666,0.778227023,6998.749243,19.6206377,80
500,6,5,7.964653328,426.2926059,88.0822359,1.673718764,0.798594621,0.932819258,6846.761371,550.9125644,80
500,6,6,9.46437287,415.3011013,94.43747246,1.670518653,0.816646491,1.117242875,6836.322618,571.7989255,80
500,6,7,11.52732342,432.4001576,67.08924897,1.524665355,0.332530846,1.360408074,6998.240578,24.6178556,80
500,6,8,13.05375614,425.210445,71.96382081,1.524149315,0.342942676,1.554225862,6997.406178,34.16664299,80
500,6,9,14.87517583,418.840832,76.34653037,1.523821882,0.346094132,1.748128463,6997.502801,32.71391849,80
750,6,1,1.104269629,739.1031673,25.608087,1.53398052,0.058249676,0.195531384,7000,0,80
750,6,10,10.90568465,656.7182494,99.11941603,1.530794999,0.237018278,1.951253358,7000,0,80
750,6,11,12.45482839,651.0122679,104.0301752,1.530756451,0.237472464,2.146324646,7000,0,80
750,6,12,12.97291761,648.0603531,107.6173615,1.530693136,0.239873786,2.341348221,7000,0,80
750,6,2,2.196455652,727.2083636,38.64115973,1.532720542,0.166765364,0.390741557,7000,0,80
750,6,3,3.303281495,716.1331756,51.27013369,1.532125263,0.191462635,0.5858847,7000,0,80
750,6,4,4.386826585,705.666271,60.49204557,1.531712428,0.208774979,0.78096911,7000,0,80
750,6,5,5.432036492,659.6354116,128.8584781,1.700852934,0.668524548,0.947942035,6901.269474,415.8299545,80
750,6,6,6.448408353,646.3744378,138.3467056,1.698687202,0.685552654,1.136082001,6893.434475,434.8264497,80
750,6,7,7.717939335,678.2689577,81.77119294,1.531200999,0.224863965,1.366239611,7000,0,80
750,6,8,8.74151272,670.2906052,88.07861505,1.531003881,0.231342851,1.561215691,7000,0,80
750,6,9,9.963458621,663.25836,93.34938476,1.530956637,0.2320829,1.756313454,7000,0,80
1000,12,1,2.31450384,909.230218,148.5115411,1.710065259,0.543156762,0.190615274,6955.036746,266.5127254,70
1000,12,10,15.91762023,718.6918767,253.351808,1.674207911,0.839367697,1.866183752,6837.905213,559.9061067,70
1000,12,11,18.31858606,704.1128185,260.8587541,1.67350956,0.842315968,2.051945855,6837.41059,560.2153046,70
1000,12,12,18.95995238,698.0176066,265.7484555,1.675481936,0.829563175,2.241124637,6838.653747,561.6455779,70
