time/d;BA1;BA2;;;;;;
4,38311634;7,937377305;2,885147904;;;;;;
4,390060786;7,988964344;2,880070447;;;;;;
4,397005232;8,036677938;2,871255025;;;;;;
4,403949679;8,105956421;2,944619246;;;;;;
4,410894125;8,148601099;2,989121456;;;;;;
4,417838571;8,1757386;3,024659594;;;;;;
4,424783017;8,114087272;3,003899466;;;;;;
4,431727463;8,191310348;2,995249195;;;;;;
4,43867191;8,178886485;2,990944595;;;;;;
4,445616356;8,206363276;2,982048478;;;;;;
4,452560802;8,200626383;2,970708353;;;;;;
4,459505248;8,216540354;2,982186834;;;;;;
4,466449695;8,225194053;3,017123208;;;;;;
4,473394141;8,248224933;3,015208823;;;;;;
4,480338587;8,308912742;3,052398657;;;;;;
4,487283033;8,367456371;3,046941106;;;;;;
4,494227479;8,368098269;3,041936304;;;;;;
4,501171926;8,36017222;3,020832319;;;;;;
4,508116372;8,403226953;3,079367962;;;;;;
4,515060818;8,405876111;3,101044359;;;;;;
4,522005264;8,412219103;2,95216645;;;;;;
4,52894971;8,437840294;3,024884558;;;;;;
4,535894157;8,467724806;2,990266626;;;;;;
4,542838603;8,469218053;2,993788152;;;;;;
4,549783049;8,470333422;2,982376369;;;;;;
4,556727495;8,52729559;2,976943656;;;;;;
4,563671942;8,585401006;2,976027231;;;;;;
4,570616388;8,590900278;2,951148226;;;;;;
4,577560834;8,643222011;2,950800231;;;;;;
4,58450528;8,683194985;2,951778929;;;;;;
4,591449726;8,729287034;2,956076775;;;;;;
4,598394173;8,750558153;2,992758021;;;;;;
4,605338619;8,794910679;2,988227466;;;;;;
4,612283065;8,798638291;2,97571089;;;;;;
4,619227511;8,841459321;3,000120773;;;;;;
4,626171957;8,875826718;2,985594675;;;;;;
4,633116404;8,914964513;3,00871043;;;;;;
4,64006085;8,978420028;3,032337616;;;;;;
4,647005296;8,983761681;2,995925331;;;;;;
4,653949742;8,955626111;2,955093678;;;;;;
4,660894189;8,959935195;2,93823587;;;;;;
4,667838635;9,000823771;2,920700324;;;;;;
4,674783081;9,012929016;2,90254235;;;;;;
4,681727527;9,018497119;2,934809944;;;;;;
4,688671973;9,057058354;2,952957874;;;;;;
4,69561642;9,08387699;3,001829146;;;;;;
4,702560866;9,113689215;3,111072955;;;;;;
4,709505312;9,162247341;3,184283302;;;;;;
4,716449758;9,225382673;3,134356339;;;;;;
4,723394205;9,215971601;3,119944902;;;;;;
4,730338651;9,243027784;3,108307505;;;;;;
4,737283097;9,277180296;3,101324685;;;;;;
4,744227543;9,288948424;3,120194253;;;;;;
4,751171989;9,30600495;3,086554796;;;;;;
4,758116436;9,304917312;3,064104097;;;;;;
4,765060882;9,332735442;3,059864266;;;;;;
4,772005328;9,348170127;3,042920119;;;;;;
4,778949774;9,359907849;3,0013977;;;;;;
4,78589422;9,384846727;3,016551302;;;;;;
4,792838667;9,412967019;3,012273563;;;;;;
4,799783113;9,432756268;3,029556428;;;;;;
4,806727559;9,481470068;3,045915989;;;;;;
4,813672005;9,521622434;3,042148816;;;;;;
4,820616452;9,565843471;3,042614035;;;;;;
4,827560898;9,555419932;3,045955482;;;;;;
4,834505344;9,535770813;3,001750829;;;;;;
4,84144979;9,544429826;2,969525436;;;;;;
4,848394236;9,527341492;2,912375927;;;;;;
4,855338683;9,546112203;2,894977883;;;;;;
4,862283129;9,610026476;2,922154839;;;;;;
4,869227575;9,627526156;2,911719791;;;;;;
4,876172021;9,617837198;2,923203799;;;;;;
4,883116467;9,640618188;2,91044201;;;;;;
4,890060914;9,688479646;2,915545631;;;;;;
4,89700536;9,678369123;2,891120769;;;;;;
4,903949806;9,681430473;2,9194943;;;;;;
4,910894252;9,735836849;2,859620554;;;;;;
4,917838699;9,775488544;2,844271444;;;;;;
4,924783145;9,805276216;2,875917453;;;;;;
4,931727591;9,796162194;2,867473979;;;;;;
4,938672037;9,837289368;2,827872648;;;;;;
4,945616483;9,814561321;2,781746223;;;;;;
4,95256093;9,857839436;2,83680203;;;;;;
4,959505376;9,872414973;2,883179635;;;;;;
4,966449822;9,905966724;2,887333172;;;;;;
4,973394268;9,926117454;2,896599912;;;;;;
4,980338714;9,910087619;2,869779373;;;;;;
4,987283161;9,913464253;2,851624448;;;;;;
4,994227607;9,927998368;2,874806438;;;;;;
5,001172053;9,913581496;2,81870738;;;;;;
5,008116499;9,983993336;2,884725776;;;;;;
5,015060946;9,937144497;2,902112608;;;;;;
5,022005392;9,930832042;2,926795024;;;;;;
5,028949838;9,990625581;2,956198619;;;;;;
5,035894284;9,972361126;2,962347465;;;;;;
5,04283873;9,977848545;2,955524608;;;;;;
5,049783177;9,970496363;2,921376848;;;;;;
5,056727623;9,961823844;2,933517529;;;;;;
5,063672069;9,961663258;2,913715249;;;;;;
5,070616515;10,05145813;2,96301935;;;;;;
5,077560961;10,03674923;2,901778321;;;;;;
5,084505408;10,02696391;2,864930591;;;;;;
5,091449854;10,05135394;2,926964815;;;;;;
5,0983943;10,08387306;2,963916965;;;;;;
5,105338746;10,17276967;3,096198792;;;;;;
5,112283193;10,12363546;3,058685874;;;;;;
5,119227639;10,18868633;3,14844904;;;;;;
5,126172085;10,12351534;3,171801181;;;;;;
5,133116531;10,11592986;3,168213925;;;;;;
5,140060977;10,06633762;3,129090043;;;;;;
5,147005424;10,07198291;3,148726011;;;;;;
5,15394987;10,04890919;3,13527483;;;;;;
5,160894316;10,07150717;3,130084129;;;;;;
5,167838762;10,07476832;3,103335177;;;;;;
5,174783208;10,02846338;3,043008664;;;;;;
5,181727655;10,05017648;3,048743055;;;;;;
5,188672101;10,03328712;3,038634979;;;;;;
5,195616547;10,0118827;3,02719968;;;;;;
5,202560993;9,983688952;3,022016298;;;;;;
5,20950544;9,979487164;3,048019692;;;;;;
5,216449886;9,972852013;3,03887281;;;;;;
5,223394332;9,967392616;3,04249352;;;;;;
5,230338778;9,948281855;3,038570265;;;;;;
5,237283224;9,907618326;3,034896183;;;;;;
5,244227671;9,885496694;3,044218679;;;;;;
5,251172117;9,936800114;3,06798368;;;;;;
5,258116563;9,947586153;3,085960506;;;;;;
5,265061009;9,928113301;3,080616501;;;;;;
5,272005455;9,94827007;3,052063548;;;;;;
5,278949902;10,02145115;3,090112964;;;;;;
5,285894348;10,0165391;3,098297142;;;;;;
5,292838794;10,02712805;3,119093541;;;;;;
5,29978324;9,983831425;3,094038093;;;;;;
5,306727687;9,909498768;3,156822736;;;;;;
5,313672133;9,920726333;3,168824165;;;;;;
5,320616579;9,930554197;3,1599007;;;;;;
5,327561025;9,889633419;3,137674166;;;;;;
5,334505471;9,818200223;3,135698883;;;;;;
5,341449918;9,775497629;3,173283502;;;;;;
5,348394364;9,810646597;3,258089534;;;;;;
5,35533881;9,756504452;3,272698953;;;;;;
5,362283256;9,712813871;3,250074492;;;;;;
5,369227702;9,685257107;3,244493439;;;;;;
5,376172149;9,71211991;3,267785391;;;;;;
5,383116595;9,702220535;3,249961207;;;;;;
5,390061041;9,700761536;3,299786926;;;;;;
5,397005487;9,716082971;3,356630937;;;;;;
5,403949934;9,700627185;3,327748328;;;;;;
5,41089438;9,71569323;3,32915439;;;;;;
5,417838826;9,715604771;3,327701221;;;;;;
5,424783272;9,661652833;3,339464456;;;;;;
5,431727718;9,636109001;3,356875014;;;;;;
5,438672165;9,617047629;3,335647849;;;;;;
5,445616611;9,578942567;3,307961693;;;;;;
5,452561057;9,55090994;3,272677001;;;;;;
5,459505503;9,516965559;3,258703486;;;;;;
5,466449949;9,463063819;3,24847531;;;;;;
5,473394396;9,400950718;3,282432715;;;;;;
5,480338842;9,402016035;3,262491932;;;;;;
5,487283288;9,384884767;3,256872492;;;;;;
5,494227734;9,340330401;3,219771668;;;;;;
5,501172181;9,284563028;3,192027482;;;;;;
5,508116627;9,228597239;3,18452178;;;;;;
5,515061073;9,144350476;3,166480915;;;;;;
5,522005519;9,120691785;3,170348141;;;;;;
5,528949965;9,07170912;3,201418306;;;;;;
5,535894412;9,019852999;3,186259974;;;;;;
5,542838858;8,900142484;3,190542438;;;;;;
5,549783304;8,826760849;3,309350038;;;;;;
5,55672775;8,786532449;3,336134831;;;;;;
5,563672197;8,730603078;3,357731118;;;;;;
5,570616643;8,705378936;3,396033608;;;;;;
5,577561089;8,628515701;3,411508664;;;;;;
5,584505535;8,547872829;3,401287117;;;;;;
5,591449981;8,491978507;3,389810364;;;;;;
5,598394428;8,417487531;3,398614426;;;;;;
5,605338874;8,350716039;3,406584489;;;;;;
5,61228332;8,263221337;3,401229825;;;;;;
5,619227766;8,19083235;3,362789827;;;;;;
5,626172212;8,103316502;3,340256185;;;;;;
5,633116659;8,021747842;3,318084542;;;;;;
5,640061105;7,932985036;3,3137317;;;;;;
5,647005551;7,897871879;3,287754663;;;;;;
5,653949997;7,856366535;3,259938889;;;;;;
5,660894444;7,765083286;3,211178971;;;;;;
5,66783889;7,706744683;3,195462647;;;;;;
5,674783336;7,618948065;3,156211323;;;;;;
5,681727782;7,536415995;3,130573649;;;;;;
5,688672228;7,482443343;3,145910644;;;;;;
5,695616675;7,407903757;3,175532167;;;;;;
5,702561121;7,296566595;3,270732513;;;;;;
