time/d;R1;R2;;;;;;time/s;?t/s;<R1>/C;<R2>/C;;time/s;<R1>/mol e-;<R2>/mol e-;R1 mmol e-;R2 mmol e-;;;;;
0,701398461;3,756223645;3,825165294;;;;;;60600,827;600,0000011;10,5925507;10,78696615;;60600,827;0,024664104;0,024465922;24,66410402;24,46592163;;;;;
0,708342905;3,700322028;3,774290842;;;;;;61200,827;600,0000011;10,43490814;10,64350019;;61200,827;0,024772255;0,024576234;24,7722546;24,57623412;;;;;
0,71528735;3,64665325;3,722079044;;;;;;61800,827;600,0000011;10,28356218;10,49626292;;61800,827;0,024878837;0,024685021;24,87883657;24,68502059;;;;;
0,722231794;3,591984086;3,668809414;;;;;;62400,827;600,0000011;10,12939514;10,34604257;;62400,827;0,024983821;0,02479225;24,98382072;24,79225014;;;;;
0,729176238;3,539673;3,622753195;;;;;;63000,82701;600,0000011;9,981877878;10,21616403;;63000,82701;0,025087276;0,024898134;25,08727595;24,89813358;;;;;
0,736120683;3,486487098;3,569834107;;;;;;63600,82701;600,0000011;9,831893634;10,0669322;;63600,82701;0,025189177;0,02500247;25,1891767;25,00247034;;;;;
0,743065127;3,43565506;3,515362313;;;;;;64200,82701;600,0000011;9,688547289;9,91332174;;64200,82701;0,025289592;0,025105215;25,28959176;25,10521503;;;;;
0,750009572;3,385092425;3,466917976;;;;;;64800,82701;600,0000011;9,545960656;9,776708711;;64800,82701;0,025388529;0,025206544;25,38852901;25,20654383;;;;;
0,756954016;3,330812392;3,419001911;;;;;;65400,82701;600,0000011;9,392890962;9,641585406;;65400,82701;0,02548588;0,025306472;25,4858798;25,30647216;;;;;
0,763898462;3,280875735;3,372169798;;;;;;66000,8271;600,0000903;9,252070965;9,509520261;;66000,8271;0,025581771;0,025405032;25,58177109;25,40503173;;;;;
0,770842907;3,232560572;3,321698081;;;;;;66600,82716;600,0000581;9,115821695;9,367189495;;66600,82716;0,02567625;0,025502116;25,67625025;25,50211614;;;;;
0,777787352;3,184701759;3,282786835;;;;;;67200,82722;600,000058;8,98085983;9,257459772;;67200,82722;0,025769331;0,025598063;25,76933062;25,59806328;;;;;
