Ewe/V;BA1_A;Ewe/V;BA2_A;<--CV begin cycle 1;;Ewe/V;BA1_B;Ewe/V;BA2_B;;;<--- CV begin cycle 2
-0,470398307;-0,23841684;-0,469602257;-0,288850026;;;-0,483907968;-0,00453314;-0,470304012;-0,004498505;;;
-0,469553173;-0,236869618;-0,469260007;-0,28301671;;;-0,483328253;-0,004093189;-0,468780637;-0,003952939;;;
-0,469270498;-0,235805532;-0,468273044;-0,297175786;;;-0,48268795;-0,003975995;-0,471590668;-0,003395584;;;
-0,468171269;-0,234021748;-0,467042595;-0,284982783;;;-0,482039154;-0,003218581;-0,468941152;-0,003647622;;;
-0,467008203;-0,233951505;-0,466845423;-0,287212167;;;-0,481161475;-0,00425547;-0,468807727;-0,003393546;;;
-0,466805965;-0,232208336;-0,465564281;-0,29556064;;;-0,4831267;-0,003475131;-0,468130201;-0,003146873;;;
-0,465008527;-0,231309534;-0,464185685;-0,301077519;;;-0,480981439;-0,00354374;-0,466993839;-0,002354573;;;
-0,46352312;-0,237373301;-0,463488698;-0,29726269;;;-0,481129795;-0,003087171;-0,466227323;-0,001746407;;;
-0,463170081;-0,230168367;-0,461738348;-0,297068015;;;-0,479007661;-0,00257746;-0,465567321;-0,001434928;;;
-0,462115347;-0,229868424;-0,461350679;-0,293490896;;;-0,478639752;-0,001936545;-0,464619726;-0,000963439;;;
-0,46169883;-0,229139019;-0,460719764;-0,302820735;;;-0,477456897;-0,001508845;-0,464662075;-0,000166824;;;
-0,460530728;-0,229072794;-0,45943293;-0,29595484;;;-0,476836801;-0,000805951;-0,462557912;0,000660275;;;
-0,459063709;-0,227588778;-0,458796263;-0,288902261;;;-0,475245774;-3,33821E-05;-0,462201148;0,001601613;;;
-0,457576513;-0,228112039;-0,457743913;-0,291554522;;;-0,474514276;0,000816204;-0,461024553;0,002500195;;;
-0,457229882;-0,226278831;-0,456543922;-0,276283254;;;-0,473688543;0,001838011;-0,460265309;0,003465625;;;
-0,456283152;-0,225074107;-0,455002248;-0,282162604;;;-0,472215146;0,002618122;-0,459545165;0,00446968;;;
-0,455243379;-0,225079372;-0,45396018;-0,279708169;;;-0,471853703;0,003571142;-0,457618982;0,005479551;;;
-0,454578936;-0,224262422;-0,453142732;-0,269031235;;;-0,469853461;0,004402346;-0,457479149;0,006770923;;;
-0,452702612;-0,222861656;-0,452588737;-0,285882107;;;-0,470190436;0,005044503;-0,456146002;0,007957073;;;
-0,451889575;-0,221616262;-0,452139884;-0,274789371;;;-0,470009327;0,004987968;-0,45536229;0,009201171;;;
-0,451358348;-0,220133813;-0,45053342;-0,282529735;;;-0,47026673;0,005590489;-0,454008639;0,0105951;;;
-0,450440556;-0,220410522;-0,448750198;-0,277688441;;;-0,46890372;0,006061951;-0,452751994;0,012102979;;;
-0,4500314;-0,21962168;-0,447801441;-0,277572923;;;-0,467888445;0,007140741;-0,452544451;0,013545557;;;
-0,448732078;-0,21839425;-0,447160691;-0,271235318;;;-0,467049718;0,008151156;-0,450481564;0,014975169;;;
-0,446927696;-0,218160802;-0,44606474;-0,280299695;;;-0,465550929;0,009340491;-0,450233698;0,016860348;;;
-0,446344674;-0,218352043;-0,445519298;-0,276253742;;;-0,464985877;0,010569384;-0,448939741;0,0185356;;;
-0,44478935;-0,213694776;-0,445101857;-0,28278021;;;-0,463380009;0,011829434;-0,44830218;0,020620785;;;
-0,444033891;-0,213019861;-0,443918169;-0,271883396;;;-0,463347137;0,01321308;-0,447282463;0,02259723;;;
-0,443836421;-0,215023456;-0,441617072;-0,28238146;;;-0,461801618;0,01456526;-0,445882469;0,0249496;;;
-0,44264099;-0,212902311;-0,441278219;-0,28179021;;;-0,460747033;0,015987053;-0,445300102;0,026727716;;;
