;;;;;;;R1;;R2;;
;;;;;;;Bulk;Electrode;Bulk;Electrode;
OTU;Domain;Phylum;Class;Order;Family;Genus;BMIXP1_B3_20221213;EMIXP1_B3_20221213;BMIXP2_B3_20221213;EMIXP2_B3_20221213;
Otu239;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu244;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu056;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus;0,0%;0,0%;0,2%;0,1%;
Otu071;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,0%;0,0%;0,0%;0,0%;
Otu077;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,1%;0,0%;0,1%;0,0%;
Otu082;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnospiraceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu093;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae_1;Clostridium_sensu_stricto_10;0,0%;0,0%;0,0%;0,0%;
Otu098;Bacteria;Firmicutes;Clostridia;Clostridiales;Family_XI;Sedimentibacter;0,0%;0,0%;0,0%;0,0%;
Otu109;Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;0,1%;0,0%;0,0%;0,0%;
Otu132;Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales_unclassified;Clostridiales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu197;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0,0%;0,0%;0,0%;0,0%;
Otu232;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu293;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu297;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_R-7_group;0,0%;0,0%;0,0%;0,0%;
Otu328;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu032;Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium_1;0,1%;0,0%;1,3%;0,3%;
Otu076;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu100;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas;0,1%;0,0%;0,1%;0,0%;
Otu120;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Macellibacteroides;0,0%;0,0%;0,0%;0,0%;
Otu123;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;0,0%;0,0%;0,0%;0,0%;
Otu127;Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae_unclassified;0,0%;0,0%;0,0%;0,0%;
Otu035;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacteraceae_unclassified;0,2%;0,0%;2,2%;0,1%;
Otu046;Bacteria;Firmicutes;Clostridia;Clostridiales;Lachnospiraceae;Lachnoclostridium;0,1%;0,0%;0,1%;0,0%;
Otu048;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae_unclassified;0,0%;0,0%;0,9%;0,3%;
