;;;;;;;N-STAT REACTOR;;;;;
;;;;;;;Bulk;BA1;BA2;;;
Otu116;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;0,014%;0,004%;0,018%;;;
Otu249;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;0,000%;0,004%;0,012%;;;
Otu049;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,005%;0,000%;0,329%;;;
Otu065;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;0,053%;0,000%;0,009%;;;
Otu078;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,005%;0,000%;0,042%;;;
Otu129;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Comamonadaceae_unclassified;0,000%;0,000%;0,094%;;;
Otu146;Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;0,000%;0,000%;0,018%;;;
Otu149;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Geobacteraceae;Geobacter;0,000%;0,000%;0,009%;;;
Otu160;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,005%;0,000%;0,021%;;;
Otu170;Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira;0,034%;0,000%;0,018%;;;
Otu207;Bacteria;Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;0,000%;0,000%;0,027%;;;
Otu227;Bacteria;Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;0,000%;0,000%;0,021%;;;
Otu242;Bacteria;Proteobacteria;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;Proteobacteria_unclassified;0,000%;0,000%;0,015%;;;
Otu252;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonadaceae_unclassified;0,019%;0,000%;0,003%;;;
Otu271;Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;0,000%;0,000%;0,009%;;;
Otu275;Bacteria;Proteobacteria;Deltaproteobacteria;Desulfuromonadales;Desulfuromonadales_unclassified;Desulfuromonadales_unclassified;0,000%;0,000%;0,003%;;;
Otu276;Bacteria;Proteobacteria;Deltaproteobacteria;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;Deltaproteobacteria_unclassified;0,000%;0,000%;0,009%;;;
Otu287;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;0,000%;0,000%;0,009%;;;
Otu310;Bacteria;Proteobacteria;Betaproteobacteria;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;Betaproteobacteria_unclassified;0,010%;0,000%;0,003%;;;
Otu283;Bacteria;Spirochaetae;Spirochaetes;Spirochaetales;Leptospiraceae;Leptonema;0,000%;0,013%;0,000%;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
