Ewe/V;BA1_C;Ewe/V;BA2_C;<--CV_beggining
-0,525803685;0,004950746;-0,39986515;0,79259976;
-0,525460184;0,011434833;-0,398696244;0,821066967;
-0,525555611;0,005220004;-0,397777498;0,829894753;
-0,524506032;0,011586864;-0,395918876;0,844802888;
-0,525574684;0,006154419;-0,395684451;0,86034303;
-0,525784612;0,011977836;-0,394243836;0,870683233;
-0,525422037;0,006613067;-0,394136846;0,88817726;
-0,525307536;0,012604265;-0,391927004;0,899549618;
-0,525860906;0,007643006;-0,392775655;0,914864502;
-0,524849534;0,012970883;-0,389791667;0,920309992;
-0,525345683;0,007769561;-0,390291214;0,932061171;
-0,525612831;0,013341244;-0,388292253;0,947740853;
-0,525250256;0,008508963;-0,388662845;0,953106608;
-0,525116682;0,013582038;-0,386321574;0,96471019;
-0,525402963;0,008891204;-0,386481762;0,971499304;
-0,523952663;0,013783525;-0,384261489;0,991395862;
-0,525002182;0,009271911;-0,38398239;1,003867986;
-0,525002182;0,013751808;-0,382036895;1,021944523;
-0,524582386;0,009746854;-0,382194877;1,032637526;
-0,524315238;0,014222825;-0,379589796;1,048502443;
-0,525212109;0,010252404;-0,380038291;1,053460546;
-0,52399081;0,014421987;-0,378130019;1,080933847;
-0,52477324;0,011116224;-0,37809065;1,092881359;
-0,524868608;0,014850085;-0,376668215;1,074049676;
-0,524429739;0,01136739;-0,376062304;1,125152939;
-0,524639606;0,015002531;-0,374498665;1,120201458;
-0,525612831;0,011901877;-0,374497712;1,125400001;
-0,523170292;0,015159392;-0,372407794;1,137969811;
-0,524486959;0,01217881;-0,371636838;1,155029655;
-0,524372458;0,015441461;-0,370864272;1,166649835;
-0,524277091;0,013067346;-0,369197696;1,183821666;
-0,524391592;0,016105085;-0,368544638;1,211561846;
-0,524696887;0,013535417;-0,367085606;1,233179727;
-0,523361087;0,01591905;-0,366831809;1,232093505;
-0,523933589;0,013755071;-0,365092278;1,247014606;
-0,52404809;0,01620977;-0,36572212;1,266659253;
-0,523628235;0,014187438;-0,362668782;1,29511438;
-0,524009883;0,016621764;-0,363502145;1,293677781;
-0,525173962;0,014610963;-0,361616969;1,302879964;
-0,523418367;0,016558547;-0,360695153;1,342903579;
-0,523571014;0,015313886;-0,359253407;1,352136954;
-0,523742735;0,017052818;-0,359042406;1,349792191;
-0,523780942;0,01614688;-0,35741511;1,383388613;
