OTU;Domain;BS;Phylum;BS.1;Class;BS.2;Order;BS.3;Family;BS.4;Genus;BS.5;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220629;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220704;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220708;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220713;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220718;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220720;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220722;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220727;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220801;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220808;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220812;V3_GG_HyDS_JAM_ErT_Reactor_pH7_20220819
Otu106;Bacteria;100;Bacteroidetes;100;Bacteroidia;100;Bacteroidales;100;Porphyromonadaceae;100;Barnesiella;100;0;1;2;2;6;30;41;17;0;1;1;8
Otu107;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Butyricicoccus;85;0;1;5;0;0;0;14;12;45;20;11;1
Otu108;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;57;5;0;7;0;0;0;0;0;7;30
Otu109;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Lachnoclostridium;100;34;24;1;7;0;0;3;31;1;0;1;3
Otu110;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Intestinimonas;100;18;0;4;9;11;0;1;49;1;0;0;9
Otu111;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiales_vadinBB60_group;100;Clostridiales_vadinBB60_group_ge;100;0;0;72;9;1;7;12;1;0;0;0;0
Otu112;Bacteria;100;Firmicutes;100;Bacilli;100;Lactobacillales;100;Lactobacillaceae;100;Lactobacillus;100;0;0;0;0;25;0;0;1;19;34;20;0
Otu113;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Oscillibacter;100;0;0;0;0;1;0;1;82;3;1;11;0
Otu114;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Coprococcus_1;100;7;59;9;9;1;9;1;4;0;0;0;0
Otu115;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Bifidobacteriales;100;Bifidobacteriaceae;100;Bifidobacterium;100;0;0;0;0;16;0;0;7;0;1;18;53
Otu116;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Actinobacteria_unclassified;71;Actinobacteria_unclassified;71;Actinobacteria_unclassified;71;0;0;0;0;0;1;1;0;0;35;45;11
Otu117;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiaceae_1;100;Clostridium_sensu_stricto_12;100;0;0;0;4;73;14;0;1;0;1;0;0
Otu118;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_unclassified;100;92;1;0;0;0;0;0;0;0;0;0;0
Otu119;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XIII;100;Family_XIII_AD3011_group;100;0;2;4;6;8;1;16;8;4;13;13;16
Otu120;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Clostridiales_vadinBB60_group;100;Clostridiales_vadinBB60_group_ge;100;0;8;20;24;0;21;17;0;0;0;0;0
Otu121;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Lachnospiraceae;100;Anaerostipes;97;6;0;0;0;0;0;0;0;0;81;0;0
Otu122;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Anaerotruncus;100;78;6;0;0;0;0;0;0;0;0;0;0
Otu123;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Ruminococcaceae;100;Ruminococcaceae_UCG-014;100;0;19;0;1;12;0;32;18;0;0;0;0
Otu124;Bacteria;100;Proteobacteria;100;Deltaproteobacteria;100;Desulfovibrionales;100;Desulfovibrionaceae;100;Bilophila;100;0;0;0;13;0;0;4;19;0;8;5;32
Otu125;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Family_XI;100;Sedimentibacter;100;80;0;0;0;0;0;0;0;0;0;0;0
Otu126;Bacteria;100;Actinobacteria;100;Actinobacteria;100;Micrococcales;100;Micrococcales_unclassified;100;Micrococcales_unclassified;100;0;0;0;0;0;0;0;0;1;0;23;55
Otu127;Bacteria;100;Firmicutes;100;Clostridia;100;Clostridiales;100;Peptostreptococcaceae;100;Terrisporobacter;100;74;0;0;0;0;0;0;0;0;0;0;0
